Realizar o login e senha do Instagram e gerar o código para o gerenciador de autenticação 2 fatores,,Como criar a palavra chave do 2fa do instagram do cliente - https://www.loom.com/share/5a12f317b92f4d77a0686f871504db44?sid=a37e4c28-478c-439a-b2e6-9c738a2d5399,,,,Concluído,100%,,Gestor de Automações,"Marcos Daniel mai 29, 2025 19:03",,,9262986614
Integração como administrador da página do facebook,,Conectando Facebook ao CRM 📈 - https://www.loom.com/share/5cfdc054da434a11a50e3244e4610982?sid=e780cae7-3dbe-42db-ada3-e3f01c9736e4,,,,Concluído,100%,,Gestor de Automações,"Marcos Daniel mai 29, 2025 19:03",,,9262986585
Criação de filtros para novos usuários no crm,,Configuração de Conta para Novos Colaboradores 🚀 - https://www.loom.com/share/9dc1f9d391d140ac9854ebcd6185d4a5?sid=c7fdcff7-e63b-43ab-812f-825fb7cbe709,,,,,0%,,,"Marcos Daniel mai 29, 2025 19:03",,,9262986844
"Configurações de Direcionamentos e Redirecionamentos do direct, comentários e sdr`s responsáveis",,Configurações de Direcionamentos e Redirecionamentos do direct e comentários - https://www.loom.com/share/880a980b0a5840ccb265cba6f0281e13?sid=65b1a337-18cf-4465-821a-c63942a1c7e2,processo de gestão de leads e automação de assinantes no CRM,,,Concluído,100%,,Gestor de Automações,"Marcos Daniel mai 29, 2025 19:03",,,9262986771
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Item ID (auto generated),,,,,,,
,processo de gestão de leads e automação de assinantes no CRM,,,,,9262987222,,,,,,,
Como criar cadências de tarefas automáticas,,Criando Cadências de Tarefas Automáticas - https://www.loom.com/share/98c58f0586c645baac3060c0d67c86a0?sid=6dd1e5f3-6e38-4b16-84c3-00fefd2317af,,,,,0%,,,"Marcos Daniel mai 29, 2025 19:03",,,9262986821
Como inserir palavras haves para trackear leads do tráfego,,Inserção de Palavras-Chave para Leads - https://www.loom.com/share/fcdddc92967e42cdac21717a51eab2db?sid=ca30968b-f1cb-4ad0-8b4d-77b1a5ff20af,,,,Concluído,100%,,,"Marcos Daniel mai 29, 2025 19:03",,,9262986754
Integração do instagram do cliente no CRM,,Integração de Conta do Instagram do Cliente no CRM da Mottivme Sales - https://www.loom.com/share/de670355d1a5495b8498039580dbfb2c?sid=0c1b5318-b633-47c3-8255-d2a0e6621b8d,,,,Concluído,100%,,Gestor de Automações,"Marcos Daniel mai 29, 2025 19:03",,,9262986708
Integrações do WhatsApp,,Integração do WhatsApp do Cliente - https://www.loom.com/share/cdf8bbb20c3e48899a76bb45b25eb594?sid=b91f672a-cad9-42a6-a8ed-2951070edafd,,,,Concluído,100%,,,"Marcos Daniel mai 29, 2025 19:03",,,9262986688
Integrações da rede social - IG,,Integrações da Rede Social - IG - [gestor] - https://www.loom.com/share/65a5c77bd081449ca6edd8d56fcde3c8?sid=0c96bc27-6b6d-45e7-bf8e-46c27f32800c,,,,Concluído,100%,,Gestor de Automações,"Marcos Daniel mai 29, 2025 19:03",,,9262986650
Rotinas Diarias,,,Veriicação diária de WhatApp Conectado,,,,0%,,,"Marcos Daniel mai 29, 2025 19:03",,,9262986860
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Item ID (auto generated),,,,,,,
,Veriicação diária de WhatApp Conectado,,,,,9262987247,,,,,,,
Inserir cliente na planilha de Produtividade - Social Seller,,Atualização da Planilha de Produtividade - https://www.loom.com/share/e5f408cfe4304901830219ad71f26665?sid=472c26b3-ac5b-4f68-9368-1bc28b90e1f2,,,,,0%,,,"Marcos Daniel jun 17, 2025 06:58",,,8672093968
,,,,,,,69%,,,,,,
,,,,,,,,,,,,,
Tutoriais express,,,,,,,,,,,,,
Name,Pessoas,Link com Tutoriais,Subitems,Cronograma - Start,Cronograma - End,Status do Progresso,Monitoramento de Progresso,"Sugestões, critícas e elogios",Responsável,Última atualização,Tutoriais/ Processos - Mottivados Team,Espelho,Item ID (auto generated)
Instruções de Acesso à Plataforma Mottivme,,Instruções de Acesso à Plataforma Mottivme - https://www.loom.com/share/b138147346f14a6e9fbb1c8662586895?sid=6d959475-e813-43cc-88d7-c5fba7d5c76b,,,,,0%,,,"Marcos Daniel jun 17, 2025 06:58",TUtoriais Gestor de ATM,,9391914870
Instruções para Copiar e Colar Follow-ups em IA - Allesson,,Instruções para Copiar e Colar Follow-ups em IA - Allesson - https://www.loom.com/share/d6317e5249bd4bdd8eae80b77ab47668?sid=25960e87-9eb1-4ab2-838d-f25b368820d6,,,,,0%,,,"Marcos Daniel jun 17, 2025 06:58",,,9391926911
,,,,,,,0%,,,,,,
,,,,,,,,,,,,,
Gestor de IA,,,,,,,,,,,,,
Name,Pessoas,Link com Tutoriais,Subitems,Cronograma - Start,Cronograma - End,Status do Progresso,Monitoramento de Progresso,"Sugestões, critícas e elogios",Responsável,Última atualização,Tutoriais/ Processos - Mottivados Team,Espelho,Item ID (auto generated)
Como inserir história na IA,,Processo de Criação da História do Cliente - https://www.loom.com/share/c577a40252ae4f71bb8ae7a98fa9a080?sid=2b9e759b-9e5a-4c7f-8f7e-afef4e5b413d,,,,,0%,,,"Marcos Daniel ago 18, 2025 10:52",,,9840048848
,,,,,,,0%,,,,,,
