0. CRONOGRAMA DE LANÇAMENTOS;;;;;;;;;;;;;;
FASE 00 POSICIONAMENTO [DEFINIR ATUAÇÃO - AMBOS];;;;;;;;;;;;;;
;• Análise de erros (pixel, página, rede social, promessa e etc);;;;;;;;5121459926;;;;;
;• Procurar a melhor forma: pessoalmente, através;;;;;;;;5121459939;;;;;
;de uma ponte - conhecido, amigo em comum - ou;;;;;;;;5121459957;;;;;
;online. Preferencialmente direct ou email.;;;;;;;;5121459967;;;;;
;• Abordagem: tentar criar rapport, pontos em comum,;;;;;;;;5121459983;;;;;
;identificação. Explique o que você faz, os seus melhores números,;;;;;;;;5121459989;;;;;
;os melhores números do mercado na área dele dentro do digital, e;;;;;;;;5121460000;;;;;
;como você vê o futuro dos dois, em curto, médio e longo prazo (3;;;;;;;;5121460006;;;;;
;meses, 1 ano, 2 anos;;;;;;;;5121460013;;;;;
;;;;;;;0;;00:00:00;33%;;;;
;;;;;;;;;;;;;;
FASE 01 - PESQUISA;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status do Lançador;Cronograma - Start;Cronograma - End;Status do Expert;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;Item ID (auto generated)
1. COPY [PESQUISA];PÚBLICO,CONCORRENTES (NO MÍNIMO 3),PROMESSA DO EVENTO;Marcos Daniel;;;;;;;;0%;;;;5121459600
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;PÚBLICO;;;;;;;;5121460687;;;;;
;CONCORRENTES (NO MÍNIMO 3);;;;;;;https://drive.google.com/drive/folders/1KixaqeAfAeIJEc8ElvyesKUK116Aoz7A?usp=sharing;5121460761;;;;;
;PROMESSA DO EVENTO;;;;;;;;5121460716;;;;;
2. TRÁFEGO [PESQUISA];Números dos lançamentos anteriores (investimento, leads, custo por lead, google ou face),Acessos Facebook ads e Google Ads,Validar domínio na BM,ORGANIZAÇÃO;Marcos Daniel;;;;;;;;0%;;;;5121459588
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Números dos lançamentos anteriores (investimento, leads, custo por lead, google ou face);;;;;;;;5121460034;;;;;
;Acessos Facebook ads e Google Ads;;;;;;;;5121460018;;;;;
;Validar domínio na BM;;;;;;;;5121460028;;;;;
;ORGANIZAÇÃO;;;;;;;;5121460779;;;;;
3. DESIGN;Reunião de Brandbook - Apresentação do Brandbook;;;;;;;;;0%;;;;5121459642
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Reunião de Brandbook - Apresentação do Brandbook;;;;;;;;5121460795;;;;;
4. CONTEÚDO;Análise de perfil (ferramenta: Number reports),Estudo de conteúdos existentes,Linha editorial;Marcos Daniel;;;;;;;;0%;;;;5121459580
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Análise de perfil (ferramenta: Number reports);;;;;;;;5121460799;;;;;
;Estudo de conteúdos existentes;;;;;;;;5121460804;;;;;
;Linha editorial;;;;;;;;5121460813;;;;;
Concluindo a Fase - Checkpoint;;;;;;;;;;0%;;;;5121459689
;;;;;;;0;;00:00:00;0%;;;;
;;;;;;;;;;;;;;
FASE 02 [FUNIL];;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status do Lançador;Cronograma - Start;Cronograma - End;Status do Expert;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;Item ID (auto generated)
1. COPY;PÁGINAS,COMUNICAÇÃO INICIAL,ANÚNCIOS DE CONVITE;;;;;;;;;0%;;;;5121459790
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;PÁGINAS;;Concluído;;;;;;5121460844;;;;;
;COMUNICAÇÃO INICIAL;;;;;;;;5121460859;;;;;
;ANÚNCIOS DE CONVITE;;;;;;;;5121460877;;;;;
2. TRÁFEGO;1. Double Check's,2. Subir campanha Captação/Convite,3. Otimizações diárias (recorrente);;;;;;;;;0%;;;;5121459700
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;1. Double Check's;;;;;;;;5121460898;;;;;
;2. Subir campanha Captação/Convite;;;;;;;;5121460915;;;;;
;3. Otimizações diárias (recorrente);;;;;;;;5121460946;;;;;
3. INFRA;1. Comprar o domínio,2. Hospedar o domínio,3. Criar um e-mail profissional,4. Contratar a plataforma de CRM (Email marketing) (Usamos o Active Campaign),5. Criar uma automação de boas vindas,6. Plataforma de Ura (Voip) (Usamos o IPBox ou Ligue Lead),7. Contratar uma plataforma de SMS (Usamos Mister Postman);;;;;;;;;0%;;;;5121459708
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;1. Comprar o domínio;;;;;;;;5121460971;;;;;
;2. Hospedar o domínio;;;;;;;;5121460977;;;;;
;3. Criar um e-mail profissional;;;;;;;;5121460986;;;;;
;4. Contratar a plataforma de CRM (Email marketing) (Usamos o Active Campaign);;;;;;;;5121460990;;;;;
;5. Criar uma automação de boas vindas;;;;;;;;5121460995;;;;;
;6. Plataforma de Ura (Voip) (Usamos o IPBox ou Ligue Lead);;;;;;;;5121460999;;;;;
;7. Contratar uma plataforma de SMS (Usamos Mister Postman);;;;;;;;5121461007;;;;;
4. CONTEÚDO;1. T.A.C.O,2. Iterar;;;;;;;;;0%;;;;5121459719
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;1. T.A.C.O;;;;;;;;5121461020;;;;;
;2. Iterar;;;;;;;;5121461030;;;;;
5. DESIGN/ WEB;CRIATIVO DE IMAGEM,PÁGINA DE CAPTURA DE EXEMPLO,CAPA DO GRUPO DE WHATSAPP,IMAGEM DO CRONOGRAMA DO EVENTO;;;;;;;;;0%;;;;5121459729
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;CRIATIVO DE IMAGEM;;;;;;;;5121461039;;;;;
;PÁGINA DE CAPTURA DE EXEMPLO;;;;;;;;5121461043;;;;;
;CAPA DO GRUPO DE WHATSAPP;;;;;;;;5121461049;;;;;
;IMAGEM DO CRONOGRAMA DO EVENTO;;;;;;;;5121461053;;;;;
;;;;;;;0;;00:00:00;0%;;;;
;;;;;;;;;;;;;;
FASE 03;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status do Lançador;Cronograma - Start;Cronograma - End;Status do Expert;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;Item ID (auto generated)
COPY;PÁGINAS,COMUNICAÇÃO,PÁGINAS,ANÚNCIOS DE ANTECIPAÇÃO (REMARKETING);;;;;;;;;0%;;;;5121459607
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;PÁGINAS;;;;;;;;5121460043;;;;;
;COMUNICAÇÃO;;;;;;;;5121461058;;;;;
;PÁGINAS;;;;;;;;5121461084;;;;;
;ANÚNCIOS DE ANTECIPAÇÃO (REMARKETING);;;;;;;;5121461107;;;;;
TRÁFEGO;Campanha Aquecimento,Planilhamento e relatório diário (recorrente),Métricas diárias para analisar (CTR, %conv. da página de captura, %conv. da página de obrigado, CPL diário/n de leads , CPL total/n leads total, meta de leads diária),Métrica de RMKT (Frequência, alcance);;;;;;;;;0%;;;;5121459622
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Campanha Aquecimento;;;;;;;;5121461134;;;;;
;Planilhamento e relatório diário (recorrente);;;;;;;;5121460076;;;;;
;Métricas diárias para analisar (CTR, %conv. da página de captura, %conv. da página de obrigado, CPL diário/n de leads , CPL total/n leads total, meta de leads diária);;;;;;;;5121460083;;;;;
;Métrica de RMKT (Frequência, alcance);;;;;;;;5121461174;;;;;
INFRA;Definir a frequência de envio de e-mail de conteúdo, podendo ser até 3 na semana.,Envio de e-mails com conteúdo de valor, que conecte com o público. Assim você consegue determinar a temperatura do lead (Quente, morno e frio),Analisar as principais métricas do e-mail, taxa de abertura, taxa de clique, taxa de clique por abertura, taxa de cancelamento de inscrição e taxa de devolução;;;;;;;;;0%;;;;5121459630
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Definir a frequência de envio de e-mail de conteúdo, podendo ser até 3 na semana.;;;;;;;;5121460090;;;;;
;Envio de e-mails com conteúdo de valor, que conecte com o público. Assim você consegue determinar a temperatura do lead (Quente, morno e frio);;;;;;;;5121460100;;;;;
;Analisar as principais métricas do e-mail, taxa de abertura, taxa de clique, taxa de clique por abertura, taxa de cancelamento de inscrição e taxa de devolução;;;;;;;;5121460154;;;;;
CONTEÚDO DE AQUECIMENTO;Antecipação,T.A.C.O.,Geração de movimento, senso de comunidade (Pegar Tópicos Do Primal randing - 25 palavras, bordoes, trilha sonora, hierarquia da tribo,Lives com Collabs,Live com Case de Sucesso,Lives de Conteúdo,Desafio que gera micro resultado;;;;;;;;;0%;;;;5121459638
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Antecipação;;;2023-09-06;2023-09-06;0;;;5121460162;;;;;
;T.A.C.O.;;;;;;;;5121460105;;;;;
;Geração de movimento, senso de comunidade (Pegar Tópicos Do Primal randing - 25 palavras, bordoes, trilha sonora, hierarquia da tribo;;;;;;;;5121460114;;;;;
;Lives com Collabs;;;;;;;;5121460126;;;;;
;Live com Case de Sucesso;;;;;;;;5121460133;;;;;
;Lives de Conteúdo;;;;;;;;5121460139;;;;;
;Desafio que gera micro resultado;;;;;;;;5121460146;;;;;
DESIGN;Criativos de Captação,Criativos de Remarketing;;;;;;;;;0%;;;;5121459649
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Criativos de Captação;;;;;;;;5121460170;;;;;
;Criativos de Remarketing;;;;;;;;5121460194;;;;;
;;;;;;;0;;00:00:00;0%;;;;
;;;;;;;;;;;;;;
FASE 04;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status do Lançador;Cronograma - Start;Cronograma - End;Status do Expert;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;Item ID (auto generated)
COPY;FORMATO DE 1 DIA,FORMATO DE 4 DIAS,ANÚNCIOS DO EVENTO (REMARKETING),PÁGINA DE VENDAS,ANÚNCIOS DE VENDAS (REMARKETING),COMUNICAÇÃO;;;;;;;;;0%;;;;5121459616
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;FORMATO DE 1 DIA;;;2023-09-06;2023-09-06;0;;;5121460214;;;;;
;FORMATO DE 4 DIAS;;;;;;;;5121460259;;;;;
;ANÚNCIOS DO EVENTO (REMARKETING);;;;;;;;5121460282;;;;;
;PÁGINA DE VENDAS;;;;;;;;5121460315;;;;;
;ANÚNCIOS DE VENDAS (REMARKETING);;;;;;;;5121460334;;;;;
;COMUNICAÇÃO;;;;;;;;5121460363;;;;;
TRÁFEGO;Double Check orçamento,Campanhas Evento,Planilhamento e relatório diário (recorrente;;;;;;;;;0%;;;;5121459661
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Double Check orçamento;;;;;;;;5121460402;;;;;
;Campanhas Evento;;;;;;;;5121460414;;;;;
;Planilhamento e relatório diário (recorrente;;;;;;;;5121460406;;;;;
DESIGN / WEB;Página de vendas,Página de upsell,Página de obrigado;;;;;;;;;0%;;;;5121459664
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Página de vendas;;;;;;;;5121460439;;;;;
;Página de upsell;;;;;;;;5121460447;;;;;
;Página de obrigado;;;;;;;;5121460461;;;;;
INFRA;Cadastrar produto na plataforma - 7 dias antes,Por pixel no checkout,Configurar listboss ou connects,Subir vídeo de boas vindas/cronograma de liberação das aulas;;;;;;;;;0%;;;;5121459674
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Cadastrar produto na plataforma - 7 dias antes;;;;;;;;5121460476;;;;;
;Por pixel no checkout;;;;;;;;5121460485;;;;;
;Configurar listboss ou connects;;;;;;;;5121460491;;;;;
;Subir vídeo de boas vindas/cronograma de liberação das aulas;;;;;;;;5121460498;;;;;
;;;;;;;0;;00:00:00;0%;;;;
;;;;;;;;;;;;;;
FASE 05;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status do Lançador;Cronograma - Start;Cronograma - End;Status do Expert;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;Item ID (auto generated)
COPY;Página lista de Espera,Pesquisa com os alunos,Pesquisa para quem não comprou,Página de upsell,Página de downsell,Descrição do order bump;;;;;;;;;0%;;;;5121459688
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Página lista de Espera;;;;;;;;5121460508;;;;;
;Pesquisa com os alunos;;;;;;;;5121460518;;;;;
;Pesquisa para quem não comprou;;;;;;;;5121460527;;;;;
;Página de upsell;;;;;;;;5121460540;;;;;
;Página de downsell;;;;;;;;5121460553;;;;;
;Descrição do order bump;;;;;;;;5121460563;;;;;
TRÁFEGO;Tráfego do order bump e  upsell para os novos alunos;;;;;;;;;0%;;;;5121459713
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;Tráfego do order bump e  upsell para os novos alunos;;;;;;;;5121460576;;;;;
INFRA;RECUPERAÇÃO DE VENDAS,EDUZZ,NO E-MAIL MARKETING,FERRAMENTA QUE PODE SER USADA NA RECUPERAÇÃO DE VENDAS;;;;;;;;;0%;;;;5121459725
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;RECUPERAÇÃO DE VENDAS;;;;;;;;5121460586;;;;;
;EDUZZ;;;;;;;;5121460605;;;;;
;NO E-MAIL MARKETING;;;;;;;;5121460626;;;;;
;FERRAMENTA QUE PODE SER USADA NA RECUPERAÇÃO DE VENDAS;;;;;;;;5121460668;;;;;
GESTÃO;LINKS IMPORTANTES;;;;;;;;;0%;;;;5121459730
Subitems;Name;Pessoa;Status;Cronograma - Start;Cronograma - End;Números;Status;Link;Item ID (auto generated);;;;;
;LINKS IMPORTANTES;;;;;;;;5121460502;;;;;
;;;;;;;0;;00:00:00;0%;;;;
;;;;;;;;;;;;;;
FASE 06;;;;;;;;;;;;;;
Name;Subelementos;Pessoa;Status do Lançador;Cronograma - Start;Cronograma - End;Status do Expert;Números;Arquivos;Início o Projeto;Progresso;Conclusões Antecipadas;Cronograma 1 - Start;Cronograma 1 - End;Item ID (auto generated)
Ativar página de espera;;;;;;;;;;0%;;;;5121459741
Iteração;;;;;;;;;;0%;;;;5121459759
Coleta de depoimento - roteiro de perguntas;;;;;;;;;;0%;;;;5121459773
;;;;;;;0;;00:00:00;0%;;;;
