Introdução ao CRM para Novos Colaboradores,,,,Introdução ao CRM para Novos Colaboradores - https://www.loom.com/share/3bd16a425ce74a43ba538730608c03af?sid=44468295-f1ef-4e17-9a3b-835b976306b7,,,,,Concluído,,,,100%,,,,"Marcos Daniel abr 28, 2025 23:46",,,,,,,8856882290
Atualizações e Configurações do Google Chrome,,,,3. Atualizações e Configurações do Google Chrome - https://www.loom.com/share/20d84acc4a83457bbf8aad9dd8e20045?sid=c7fe0871-2091-4d35-bf53-89963dcaf94e,,,,,Concluído,Mentorfy,,,100%,,,,"Marcos Daniel abr 28, 2025 23:45",,,,,,,8857225374
Ferramentas para Aumentar a Produtividade - Extensões para você baixar,,,,Ferramentas para Aumentar a Produtividade - https://www.loom.com/share/384094c6945a489887fe985acc83393f?sid=55588785-45c1-46b2-8433-cf9aa53cebb6,,,,,Concluído,Mentorfy,,,100%,,,,"Marcos Daniel abr 28, 2025 23:46",,,,,,,8857268517
Gerenciamento de Leads e Tarefas,,,,Gerenciamento de Leads e Tarefas - https://www.loom.com/share/9f7f0f0f401d4301b1d212949e1ce5f2?sid=99b615d7-f5fc-46c3-911a-295e20e24587,,,,,Concluído,Mentorfy,,,100%,,,,"Marcos Daniel abr 28, 2025 23:46",,,,,,,8857477421
Como Gerenciar Leads Eficazmente - Parte 1🚀,,,,Como Gerenciar Leads Eficazmente 🚀 - https://www.loom.com/share/febdd891a59c452093ffbc174c68057a?sid=3e38d0eb-45e4-4b22-88b6-1e10e7fd30d3,,,,,Concluído,Mentorfy,,,100%,,,,"Marcos Daniel abr 28, 2025 23:45",,,,,,,8857700268
Como funciona o CRM na prática - Principais funcionalidades para utilizar,,,,,,,,,,,,,0%,,,,"Marcos Daniel abr 3, 2025 17:31",,,,,,,8856699573
Alinhamento inicial com os SDR,,,,Alinhamento inicial com os SDR - https://www.loom.com/share/4ee6c83cc1e448a3936bcbf9c46629de?sid=98da2081-3543-4724-85c1-7410452adcc7,,,,,Concluído,Mentorfy,,,100%,,,,"Marcos Daniel abr 28, 2025 23:45",,,,,Alinhamento inicial com os SDR - https://www.loom.com/share/4ee6c83cc1e448a3936bcbf9c46629de?sid=98da2081-3543-4724-85c1-7410452adcc7,,8874804211
Estratégias de Follow-Up em Vendas,,,,Estratégias de Follow-Up em Vendas - https://www.loom.com/share/fd87b025c74c48278e156cc862c45c41?sid=d590b225-dfa6-4ac3-850d-f1b304325ebf,,,,,Concluído,Mentorfy,,,100%,,,,"Marcos Daniel abr 28, 2025 23:45",,,,,,,9024554677
TUtoriais Gestor de ATM,,,,,,,,,,,,,0%,,,,"Marcos Daniel jun 17, 2025 06:57",,,,,,,9391924308
,,,,,,,,,,,,,56%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Processos para os Clientes,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Como Criar Links Permanentes no Zoom,,,,Como Criar Links Permanentes no Zoom - https://www.loom.com/share/f8556c3e4647451bba0ba1738c207fdf?sid=b0007e2a-99c8-4e76-9dc6-219c4fd26d36,,,,,,,,,0%,,,,"Marcos Daniel mar 19, 2025 18:14",,,,,,,8737451887
Como criar várias agendas no seu dia a dia,,,,Como criar várias agendas no seu dia a dia - https://www.loom.com/share/5ec1573d73e74c279459fc263ae34f78?sid=c3281720-e703-42ca-a2a1-0c2ce9f58b7f,,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 00:10",,,,,,,8739048326
Como preencher os dados da persona,,,,Como funciona o link com as informacoes da persona do nosso cliente - https://www.loom.com/share/217017f0f5494c2ea391a6df9f2eba00?sid=b348171e-1e19-4fae-af18-76e8c79f1be0,,,,,,,,,0%,,,,"Marcos Daniel mar 19, 2025 18:44",,,,,,,8737429134
Integracao do WhatsApp e Google Agenda com a Agendafy,,,,Integracao do WhatsApp e Google Agenda com a Agendafy - https://www.loom.com/share/ccf76184fb844464b2145d41f2bc7545?sid=3d4c3b38-8af5-4418-8408-9895735c329c,,,,,,,,,0%,,,,"Marcos Daniel mar 19, 2025 22:41",,,,,,,8738739797
Como funciona nosso follow up,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 19, 2025 18:10",,,,,,,8737435128
Por onde começaremos,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 19, 2025 18:10",,,,,,,8737435544
Treinamento e Integração do Socialfyghter ao CRM --> [cliente],,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 19, 2025 18:10",,,,,,,8737436019
a,,,,,,,,,,,,,0%,,,,"Marcos Daniel mar 20, 2025 05:32",,,,,,,8740044633
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FASE A1 - Gestor de Automações,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
1. Atualização de conta antiga ou criação de conta no CRM para novos Mottivados,,,,Alteração de Contato de Colaborador 🛠️ - https://www.loom.com/share/2c5f5c8efdf44ba1aed102734142275e?sid=e3f7a288-1432-4393-92fe-41530f3d5dc8,,,,,,,,,0%,,,,"Marcos Daniel abr 10, 2025 08:31",,,,,,,8901128772
"2. Compra, integração e criação da agendafy do usuário",,,,Aprenda a criar sua conta na Agendafy✨ - https://www.loom.com/share/3ab31a1554b841f6b3aac72bbb68d5bd?sid=5ddd99b5-3656-4e57-8636-f0d8585ba66f,,"Definir com o cliente os dias e horários disponíveis para agendamento,Integração,Ciação de agendas,Configuração das agendas",,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel abr 10, 2025 08:31",,,,,,,8691631485
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Link de Arquivos,Item ID (auto generated),,,,,,,,,,,,,,,,,
,Definir com o cliente os dias e horários disponíveis para agendamento,,,,,,8691632012,,,,,,,,,,,,,,,,,
,Integração,,,,,,8691631893,,,,,,,,,,,,,,,,,
,Ciação de agendas,,,,,,8691631933,,,,,,,,,,,,,,,,,
,Configuração das agendas,,,,,,8691631978,,,,,,,,,,,,,,,,,
3. Automação Poderosa para envio de áudio de forma segmenta Leads e personalizada para o seu lead,,,,Automação Poderosa para Leads 🚀 - https://www.loom.com/share/f25572b105724db69e5c1be563a7038f?sid=cabc70f4-10e0-4f1c-acf2-31c13c849ef5,,,,,Concluído,,,,100%,,,,"Marcos Daniel abr 10, 2025 08:32",,,,,,,8703303001
Criação de conta como Usuário do CRM para acompanhar o bpo social selling  e gerir o fluxo comercial,,,,Como cadastrar um novo usuário no CRM? 😊 * - https://www.loom.com/share/3ac7b2f0f2d44b8c97278dcee8ee3697?sid=bd9dffd2-895e-439c-a255-5d1b31926f28,,,,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8691631451
Equipes e Grupos de Equipes,,,,Como configurar Equipes e Grupos de Equipes --&gt; [gestor] - https://www.loom.com/share/3ac7b2f0f2d44b8c97278dcee8ee3697?sid=85b1cbe0-7344-42f3-8715-0fb315987693,,,,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8691631520
Realizar o login e senha do Instagram e gerar o código para o gerenciador de autenticação 2 fatores,,,,Como criar a palavra chave do 2fa do instagram do cliente - https://www.loom.com/share/5a12f317b92f4d77a0686f871504db44?sid=a37e4c28-478c-439a-b2e6-9c738a2d5399,,,,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8691631620
Integração como administrador da página do facebook,,,,Conectando Facebook ao CRM 📈 - https://www.loom.com/share/5cfdc054da434a11a50e3244e4610982?sid=e780cae7-3dbe-42db-ada3-e3f01c9736e4,,,,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8691631581
Criação de filtros para novos usuários no crm,,,,Configuração de Conta para Novos Colaboradores 🚀 - https://www.loom.com/share/9dc1f9d391d140ac9854ebcd6185d4a5?sid=c7fdcff7-e63b-43ab-812f-825fb7cbe709,,,,,,,,,0%,,,Mottivado,"Marcos Daniel abr 9, 2025 20:05",,,,,,,8901273499
"Configurações de Direcionamentos e Redirecionamentos do direct, comentários e sdr`s responsáveis",,,,Configurações de Direcionamentos e Redirecionamentos do direct e comentários - https://www.loom.com/share/880a980b0a5840ccb265cba6f0281e13?sid=65b1a337-18cf-4465-821a-c63942a1c7e2,,processo de gestão de leads e automação de assinantes no CRM,,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel mar 26, 2025 13:41",,,,,,,8691631530
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Link de Arquivos,Item ID (auto generated),,,,,,,,,,,,,,,,,
,processo de gestão de leads e automação de assinantes no CRM,,,,Como eleger os SDR's Responsáveis por clientes? - https://www.loom.com/share/a55c761af359460483cde33dca5a06d7?sid=c8720a2d-7308-4049-9fa2-5af1f0c6f553,,8788508862,,,,,,,,,,,,,,,,,
Como criar cadências de tarefas automáticas,,,,Criando Cadências de Tarefas Automáticas - https://www.loom.com/share/98c58f0586c645baac3060c0d67c86a0?sid=6dd1e5f3-6e38-4b16-84c3-00fefd2317af,,,,,,,,,0%,,,,"Marcos Daniel abr 2, 2025 12:00",,,,,,,8842624430
Como inserir palavras haves para trackear leads do tráfego,,,,Inserção de Palavras-Chave para Leads - https://www.loom.com/share/fcdddc92967e42cdac21717a51eab2db?sid=ca30968b-f1cb-4ad0-8b4d-77b1a5ff20af,,,,,Concluído,,,,100%,,,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8693078437
Integração do instagram do cliente no CRM,,,,Integração de Conta do Instagram do Cliente no CRM da Mottivme Sales - https://www.loom.com/share/de670355d1a5495b8498039580dbfb2c?sid=0c1b5318-b633-47c3-8255-d2a0e6621b8d,,,,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8691631752
Integrações do WhatsApp,,,,Integração do WhatsApp do Cliente - https://www.loom.com/share/cdf8bbb20c3e48899a76bb45b25eb594?sid=b91f672a-cad9-42a6-a8ed-2951070edafd,,,,,Concluído,,,,100%,,,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8691631736
Integrações da rede social - IG,,,,Integrações da Rede Social - IG - [gestor] - https://www.loom.com/share/65a5c77bd081449ca6edd8d56fcde3c8?sid=0c96bc27-6b6d-45e7-bf8e-46c27f32800c,,,,,Concluído,,,,100%,,Gestor de Automações,,"Marcos Daniel mar 14, 2025 18:11",,,,,,,8691631662
Rotinas Diarias,,,,,,Veriicação diária de WhatApp Conectado,,,,,,,0%,,,,"Marcos Daniel abr 10, 2025 08:26",,,,,,,8810104642
Subitems,Name,Owner,Status,Date,Link com Tutoriais,Link de Arquivos,Item ID (auto generated),,,,,,,,,,,,,,,,,
,Veriicação diária de WhatApp Conectado,,,,Verificação diária dos leads no Whatsapp Lite 📱 - https://www.loom.com/share/f3fac477c5754bf9be185eb66828a60e?sid=6480343c-7f0f-4397-aa66-1c2cf14c3c1f,,8810108488,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,73%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
A2 - Processos Gestor de Automações,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
3. Analisar automações em cada etapa,,,,,,,,,,,,,0%,,,,"Marcos Daniel ago 31, 2024 11:58",,,,,,,7336986056
4. Analisar respostas por etapas,,,,,,,,,,,,,0%,,,,"Marcos Daniel ago 31, 2024 11:58",,,,,,,7336986061
,,,,,,,,,,,,,0%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FASE A1 - SDR/Social Seller INTERNOS,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Introdução ao CRM para Novos Colaboradores,,,,1. Embeeded ok - Introdução ao CRM para Novos Colaboradores - https://www.loom.com/share/3bd16a425ce74a43ba538730608c03af?sid=44468295-f1ef-4e17-9a3b-835b976306b7,,,,,,,,,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8874727169
Alinhamento inicial com os SDR,,,,Alinhamento inicial com os SDR - https://www.loom.com/share/4ee6c83cc1e448a3936bcbf9c46629de?sid=98da2081-3543-4724-85c1-7410452adcc7,,,,,,,,,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8778516108
"Como funciona o quadro no monday, sobre a Persona do nosso cliente",,,,Como Funciona o Quadro de Clientes - https://www.loom.com/share/bdbae75708de4bdf9c3aa83a86256db5?sid=7b222d3d-48bd-40ae-b3e2-9d8d0227aa87,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,Concluído,,Modelando,Mottivme Sales,100%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8690311853
Como fazer follow up no fup 4,,,,Follow-up de Leads na Prática - https://www.loom.com/share/b4a85976f68b4cf48ef4b22a2eb74006?sid=fa9c8e48-6d79-421e-9def-246073efd278,,,,,,,,,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8842483608
Como é a Cadência do time de pré vendas,,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,Parado,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740003474
Critérios de qualificação para Meetings,,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740014620
Bônus e metas SDR,,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740036584
Time Social Selling - 2024 (BÔNUS E COMISSÕES DIVIDIDO ENTRE O TIME),,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740041581
"Script de Call SDR   Objetivos: Qualificar, Entender o Nível de Consciência do Lead e fazer o agendamento.",,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740051951
FLUXO DE MSGS p_ Leads Qualificados - Imersão Presencial - WhatsApp,,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740057743
Processo do SS,,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740063019
Report SS e SDR,,,,,Report SS e SDR - https://docs.google.com/document/d/1t8il_aizObnjAoiXXIREe6mWnudQyV8m0miCMQc4oCQ/edit?usp=sharing,,,,,,Modelando,Mottivme Sales,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740065643
MODELO METRICAS - SDB/BDR,,,,,MODELO METRICAS - SDB/BDR - https://docs.google.com/spreadsheets/d/1XnHwaLLakLn6AtjVfOkdRwfhYch7hzOJeqtT6fqXis0/edit?usp=sharing,,,,,,,,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740067069
PAINEL DE CONTROLE - Time de pré-vendas,,,,,PAINEL DE CONTROLE - Time de pré-vendas - https://docs.google.com/spreadsheets/d/14vlMrrABDTG0Fp37jGleKcIo265DS-ZWMov3Mt58kg4/edit?usp=sharing,,,,,,,,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740076307
Social Seller,,,,,,,,,,,,,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740085091
processo contratcao pre venda,,,,,,,,,,,,,0%,,Social Seller,,"Marcos Daniel abr 9, 2025 20:06",,,,,,,8740135747
,,,,,,,,,,,,,6%,,,,,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
FASE A1 - Supervisor de BDR,,,,,,,,,,,,,,,,,,,,,,,,
Name,Pessoas,link to 0. Job Description - benchmarking,Espelho,Link com Tutoriais,Link de Arquivos/Página,Subitems,Cronograma - Start,Cronograma - End,Status. Tutoriais,Status no Mentorfy,Status Arquivos do Processo,Time,Monitoramento de Progresso,"Sugestões, critícas e elogios",Quem deve assistir?,Configuração para:,Última atualização,Tempo estimado (h),O que se espera aprender?,Observação,Categoria,Link com Tutoriais - loom,link to Templates de Mensagens,Item ID (auto generated)
Rotinas do Supervisor de BDR,,,,1. Rotina de Prospecção - BDR BPOSS - https://docs.google.com/spreadsheets/d/1MnqOv27GMsOYHH8IfSaTAnT5Qy9Ul8ET3y0IAr1-dKI/edit?usp=sharing,,,,,,,,,0%,,,,"Marcos Daniel mar 29, 2025 07:07",,,,,,,8811846531
Inserir cliente na planilha de Produtividade - Social Seller,,,,Atualização da Planilha de Produtividade - https://www.loom.com/share/e5f408cfe4304901830219ad71f26665?sid=324d07aa-9c7a-4e07-93c6-a3415f36aced,,,,,,,,,0%,,,,"Marcos Daniel mar 13, 2025 15:48",,,,,,,8691631780
Como abordar novos seguidores dos clientes,,,,Como abordar novos seguidores dos clientes - https://www.loom.com/share/7e3e32dc5e18428f96176450b2cb117b?sid=3470642c-b57d-43b5-9d76-fb9aecbbc1be,,,,,,,,,0%,,,,"Marcos Daniel mar 13, 2025 15:29",,,,,,,8692874488
Como abordar seguidores do cliente,,,,Como abordar seguidores do cliente - https://www.loom.com/share/6a6b933ad7d442eba84759f917f5840f?sid=4fde4c9c-cc83-4ba4-9735-778fa58d7fcc,,,,,,,,,0%,,,,"Marcos Daniel mar 13, 2025 15:29",,,,,,,8692872418
